Tanz;Prüfpunkt;Aktueller Wert;Grund
Sue;BPM final gegen konkrete Musikversion messen;128;"Vorläufige Festmodus-Schätzung; öffentliche Stepsheet-Quelle nennt keine BPM"
Roll On;BPM final gegen konkrete Musikversion messen;128;"Vorläufige Festmodus-Schätzung; keine belastbare öffentliche BPM-Angabe gefunden"
For The Good Times;BPM final gegen konkrete Musikversion messen;102;"Vorläufiger Wert; Bouke-/Elvis-Version in der CLDF-Zuordnung ist nicht eindeutig"
Black Coffee;BPM final gegen konkrete Musikversion messen;112–116;Zusätzliche Offline-Tanzdatei (Festmodus)
Bosa Nova;BPM final gegen konkrete Musikversion messen;122;Öffentliche Tempoangaben widersprechen sich (122/164 BPM)
Electric Slide;BPM final gegen konkrete Musikversion messen;106–120;Zusätzliche Offline-Tanzdatei (Festmodus)
Grandma's Featherbed;BPM final gegen konkrete Musikversion messen;102–111;Zusätzliche Offline-Tanzdatei (Festmodus)
Homeward Bound;BPM final gegen konkrete Musikversion messen;156;Öffentliche Angaben unterscheiden sich je nach Aufnahme (144/156 BPM)
Honky Tonk;BPM final gegen konkrete Musikversion messen;145–170;Zusätzliche Offline-Tanzdatei (Festmodus)
I Must Be Dreamin';BPM final gegen konkrete Musikversion messen;115;"Vorläufige Festmodus-Schätzung; keine belastbare veröffentlichte BPM-Angabe gefunden"
I've Got Mexico;BPM final gegen konkrete Musikversion messen;110–115;Zusätzliche Offline-Tanzdatei (Festmodus)
Rhumba And Roses;BPM final gegen konkrete Musikversion messen;124–125;Öffentliche Angaben unterscheiden sich leicht (120/124/125 BPM)
Silverado;BPM final gegen konkrete Musikversion messen;94–98;Zusätzliche Offline-Tanzdatei (Festmodus)
Tush Push;BPM final gegen konkrete Musikversion messen;120–132;Zusätzliche Offline-Tanzdatei (Festmodus)
